mu,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,gamma8,gamma9,gamma10,gamma11,gamma12,gamma13,gamma14,gamma15,gamma16,gamma17,gamma18,gamma19,gamma20
0.0357079,1.0500238121154726,1.2799921914632493,1.5357549141342675,1.5307503188610743,1.8256396636493875,1.9199329445805065,1.9439688236542176,1.5210129590254238,1.9738632573529349,1.9921661190224165,1.967842442338435,1.502018289138598,1.952637910879257,1.9813736799534754,1.938197103067325,1.4642648948806598,1.9554526662182263,1.9600428146206283,1.9287473020164732,1.4624343476919688
0.0378346,0.9852801545186354,1.195949338873293,1.4361353048944328,1.4448713306885854,1.7073321867263183,1.7958443864737355,1.816903985359026,1.4344094909682383,1.8421058709797995,1.8592947908674577,1.8365627829901023,1.4172303287595296,1.8224927424816697,1.8492285198837564,1.809830262783615,1.3817539733598885,1.8258451009360215,1.8319427882270407,1.7996105066050743,1.3799914470694499
0.0400881,0.9247883215156532,1.1180051303146208,1.3436731940992102,1.3640663711082244,1.5976118877562089,1.6806111728637436,1.6992257876782333,1.3529058932202596,1.7203451367030747,1.73644676060811,1.715271255785807,1.337475006521442,1.7022690981932989,1.7270493291063282,1.6911265111386742,1.304105908317265,1.7060082499438167,1.7129181454518914,1.6803120900314146,1.3023706123662921
0.0424757,0.8682423710459355,1.0456072588061853,1.2577391415452042,1.2877044803903759,1.495664456546736,1.573414825746756,1.5898225396137209,1.2763585823104098,1.6076953624975072,1.6227738907866658,1.60304949730028,1.2622535638039643,1.5910185407948476,1.6136758239714593,1.5812559535211503,1.2309608220867667,1.595012233807628,1.6021141921331639,1.5699939251194166,1.2292398016012025
0.0450056,0.8153646370351332,0.9783157739261833,1.1778135613743017,1.215456646427704,1.4008692231300206,1.4737610847514575,1.4883165308899677,1.2042599265174534,1.5033703454514609,1.5174706455358589,1.499142248994122,1.1914717417464624,1.4880320196293184,1.5092599101420994,1.4794548267378245,1.1620423346048943,1.4921671760714266,1.4991119477575012,1.4678705947467414,1.1603173161914635
0.0476861,0.7658939321680283,0.9156958955568804,1.103383387718313,1.1465294747905488,1.3126288618487403,1.380852108817347,1.3939540305403908,1.1363607604318318,1.4066523566301046,1.4199006467340263,1.4027772313690257,1.1246836291856048,1.3925250830260816,1.4118414331003404,1.3849590892436272,1.0970515611898155,1.396611163326025,1.4032126945094348,1.3731944680228676,1.095306942421135
0.0505263,0.7196040437348836,0.8574562518939608,1.0341167362987744,1.0802409297502424,1.23051696282868,1.2943587318711607,1.3062191232995215,1.0724849149145657,1.3170060176140193,1.3293739520172887,1.3134490092404616,1.0618130874835465,1.3039889195283791,1.3214465817788272,1.2972879894485791,1.0358348301785731,1.3080091988020315,1.3140805752993756,1.285432641108155,1.034092025208545
0.0535357,0.6762673893965094,0.8031910794084289,0.9695270269986764,1.0174745277348167,1.1539632331577596,1.2136903536502668,1.2245775409049284,1.012326263877987,1.233716374048326,1.2452440403952227,1.2304522196132317,1.0025019107022595,1.2217414276290801,1.2374059495027598,1.2157530674173678,0.9780752885622208,1.2255440404454074,1.2310357218808232,1.2039122453001283,0.9763211369708875
0.0567243,0.6356862019947933,0.7526308858485149,0.9093057941419431,0.9583176167203067,1.0825933795590599,1.1384186102038296,1.1485914260211096,0.955575032405222,1.1563421375955683,1.1671731207348726,1.153319074956972,0.9465761477541601,1.145292289701938,1.1594601045149224,1.1399181053883125,0.9235938253969974,1.148863985798309,1.1536970576026144,1.128163754449389,0.9218365547214165
0.0601028,0.5976724522563776,0.7055312054498113,0.8531535677524075,0.9026795995754344,1.0160340870277866,1.0682076041673065,1.077781659442577,0.9021812667214031,1.0844026967430835,1.0944917214827585,1.0816062593668698,0.8939187023056399,1.0742219735946874,1.0871986677814847,1.069353394513081,0.8722254134571517,1.0775159158474525,1.0816568597947476,1.0577454890331397,0.8704707862704395
0.0636825,0.5620460168117679,0.6615441230572,0.8006610526367103,0.8502530480999919,0.9538185440900273,1.0025570968024828,1.0116879232372509,0.8517201271947364,1.0173526195309157,1.0267188115220303,1.0147425414474998,0.8440804214221546,1.0079374540288564,1.0193034544919817,1.003506801967001,0.8236713129255415,1.0109033137023236,1.0144246945536919,0.9921126130064806,0.8219149586589027
0.0674754,0.5286513214983405,0.6205029463477267,0.7516441089744328,0.8009277817533377,0.8957082731380571,0.9412040819098677,0.9500065791441953,0.8041095347948323,0.9548812233259905,0.9636178536150402,0.9524369275268995,0.7970869512650062,0.9461739262416622,0.9559402679764598,0.9420833331074044,0.777847269177393,0.9488131952017593,0.9516934411359234,0.9309563848897994,0.7761159870292441
0.0714943,0.4973389314722628,0.5822268465296172,0.7058760046824303,0.7545623308971977,0.8414365641946709,0.8839290574811376,0.892485418292355,0.759318287702142,0.8966840763287258,0.9048081298745612,0.8943815146245984,0.7527849373264031,0.8886136058995469,0.8971966407526227,0.8848144931361485,0.7346184768862015,0.8909064242361496,0.8932067435309706,0.8739873195339021,0.7329046949073157
0.0757525,0.4679683934605424,0.5464693011806314,0.6630720685121231,0.7109191866796641,0.790666140053263,0.8303221934378479,0.8386989022664603,0.7169394659788582,0.8423539513644105,0.849895963420296,0.8401681069727309,0.7109041923429539,0.8348519261201807,0.8424858017115604,0.8312935384818504,0.6937823191600174,0.8368095478674895,0.8385579185890688,0.8208024686422202,0.6920930751134508
0.0802643,0.44041060107109914,0.5130471696051863,0.6230187776535298,0.6698370654241812,0.7431452177032041,0.7801272981390183,0.7884043641039489,0.676985593663311,0.7915864825684139,0.7985591086150775,0.7895091175722495,0.6713706221536984,0.7846042666969967,0.7909542391966607,0.7812435311127753,0.6551987726329358,0.7862337326656537,0.787505895845033,0.7711128099029114,0.6535417386100263
0.0850449,0.41454627579982956,0.48179449138949815,0.5855205576701504,0.6311580023696608,0.6986418536294859,0.7331512386454462,0.7413274373076344,0.639236651278965,0.7441204444287377,0.7505734913166802,0.7421348609284529,0.6340167695055169,0.7376079354959008,0.7429386380683516,0.7344124618935965,0.6187451754882218,0.7389184063171077,0.7397663071573475,0.7246572103123308,0.6171202969737845
0.0901102,0.39025632732665827,0.45251001245471395,0.5503478396201242,0.5946890832408915,0.6568904591686072,0.6890661079468418,0.6971910943035419,0.6035310143173405,0.6996565930720736,0.7055698783586565,0.6977492906205643,0.5986668244895391,0.6935655968596147,0.6979661511797065,0.6905001252861419,0.5842510206147817,0.6945715781914298,0.6950011425396379,0.6811436970095439,0.5826675264173926
