x_12,slope_12,x_23,slope_23,x_13,slope_13
5.299317485,-1.1622572753504041,11.76226250533978,-1.4062194890436093,12.03592442,-1.1838821567274835
5.452388059,-1.1380336800442368,12.437951483831547,-1.4231527277211466,12.51995419,-1.1763143702620857
5.50639776,-1.086044117657969,12.89570843710872,-1.3937071277695976,13.02344941,-1.1573484167579189
5.690323882,-1.0823613376186647,13.636508776910857,-1.3786790706690009,13.54719291,-1.1385618474696504
5.893288288,-1.0557626913110754,14.138376525725487,-1.3590440887174995,14.09199897,-1.1231334330689065
6.116876052,-1.0527699457533155,15.049130752508256,-1.3297036349866864,14.65871464,-1.1031755912723158
6.362868796,-1.0329991823971507,15.602987571430004,-1.302136610512132,15.24822101,-1.0777325902399437
6.55383395,-1.0261016100303093,16.608087899269066,-1.284882845413762,15.86143463,-1.058334600386636
6.772746807,-1.0318160637289777,17.2193193971899,-1.2533317902063645,16.4993089,-1.041077034639037
7.022005854,-1.0277771691946265,18.328539249609143,-1.233265163027951,17.16283555,-1.0167162321677328
7.25655671,-1.0181410035412746,19.065629165255007,-1.1926036062724343,17.8530462,-0.9924564176853014
7.474343611,-1.0269608084036432,20.36057104567083,-1.1551445033689,18.57101396,-0.9720708890620838
7.724003569,-1.0039457626308037,21.179379974749853,-1.1291707834813174,19.3178551,-0.9407948879300484
7.982002733,-1.0151545511567457,22.617888292142528,-1.0821410107758076,20.09473077,-0.9132546905004141
8.248619652,-1.0250903017284299,23.527476183807075,-1.049942681606652,20.90284882,-0.8918184303413051
8.524142179,-1.0135130646315722,25.12546773115237,-1.0160585931649662,21.74346567,-0.8615717326355433
8.80886778,-1.0103337459194868,26.135898984745744,-0.9757391031029999,22.61788829,-0.8340647865711693
9.073243308,-1.010227453038252,26.743979297484167,-0.9411232221967044,23.52747618,-0.8046894779343272
9.345553388,-0.9965567650011566,27.9110552035262,-0.9421756355951025,24.47364354,-0.7803508713273002
9.657715979,-1.000911669793062,29.033510029051524,-0.8969705245297916,25.4578614,-0.7523895695483406
9.980305506,-0.9950645785291318,31.20988996091553,-0.8511940618670382,26.48166001,-0.7184757279498838
10.31367025,-0.9802903368278082,32.46500881383221,-0.8124535090583609,27.54663111,-0.6978625215710992
10.69324677,-0.9828011045527097,34.89861720632464,-0.7555147058823733,28.65443046,-0.6597810157881971
11.12328018,-0.9627374740782894,36.3020797770429,-0.7361111111111354,29.80678044,-0.6250549536211617
11.57060757,-0.9623116105053265,39.02331871207439,-0.6767403630894934,31.00547265,-0.5979259136738909
12.03592442,-0.9480424536021063,40.59265788886219,-0.6401205863630649,32.25237078,-0.5699972626858363
12.51995419,-0.9313260487742357,41.53709052989551,-0.6165687409178213,33.54941343,-0.5376430152239815
13.02344941,-0.9215893413580571,43.92320920875714,-0.5852029235922979,34.89861721,-0.5058210783925978
13.54719291,-0.8960512691566774,45.6895995429606,-0.5482348062011699,36.30207978,-0.484885620881325
14.09199897,-0.8854799658946741,46.90648359397067,-0.5106891145738682,37.76198319,-0.45296120253739114
14.65871464,-0.8615989510612235,49.43834535014343,-0.5194321550901515,39.28059722,-0.4205014847409892
15.24822101,-0.8369390529000804,51.42652920416143,-0.4680351307189651,40.86028296,-0.3925987115867915
15.86143463,-0.8136369693538804,52.62302372611269,-0.4432630035247434,42.50349643,-0.3658496241703817
16.4993089,-0.7911078421194134,56.012850075512944,-0.4075635146519849,44.21279242,-0.33884803910348293
17.16283555,-0.77698035197646,58.26543040256354,-0.38857255700309395,45.99082846,-0.30944044547195304
17.8530462,-0.7405759939124936,59.62103945055185,-0.35215295424269055,47.84036898,-0.284450522346239
18.57101396,-0.7210258392904716,63.4616581797228,-0.3153594771241886,49.76428954,-0.2705740056198839
19.3178551,-0.6933289316249959,66.01379545795331,-0.2918709150326836,51.76558137,-0.23410607997043212
20.09473077,-0.6637647602779868,67.54967870461536,-0.28676470588235786,53.847356,-0.20588456478747502
20.90284882,-0.6439101572148835,71.90103794915844,-0.23962151203632318,56.01285008,-0.1847866592517076
