mu,Theta,U,m0,m1,m2,m3,m4,m5,m6,m7
2.009233003,1,1,0,0.007835323,0.069633281,0.079618773,0.085838674,0.089348119,0.090558044,0.092007648
2.20513074,1,1,0,0.009291086,0.074194102,0.084787347,0.091321036,0.094976538,0.096213632,0.097706437
2.420128265,1,1,0,0.010573888,0.078782043,0.090001754,0.096849828,0.100651985,0.101911111,0.103443655
2.656087783,1,1,0,0.012110398,0.083530411,0.095387335,0.102550722,0.106500093,0.107781614,0.109353923
2.915053063,1,1,0,0.013681453,0.088340405,0.100842637,0.108322972,0.112416289,0.113718032,0.11532828
3.199267138,1,1,0,0.015350335,0.093211676,0.106365772,0.114162766,0.118397022,0.119718166,0.121364858
3.511191734,1,1,0,0.017037449,0.098093873,0.111901568,0.120014106,0.124384924,0.125723463,0.127404729
3.853528594,1,1,0,0.01885275,0.103008684,0.117467989,0.12589286,0.130396897,0.131753095,0.133468023
4.229242874,1,1,0,0.020629254,0.107869103,0.122975443,0.131708678,0.136340497,0.137712098,0.139458401
4.641588834,1,1,0,0.022492635,0.112706126,0.128451882,0.137487901,0.1422434,0.14363074,0.145407407
5.094138015,1,1,0,0.024313137,0.117449302,0.133822833,0.143154974,0.148028563,0.149429855,0.151234818
5.590810183,1,1,0,0.026076043,0.122072437,0.139061537,0.148682158,0.153668023,0.155081476,0.156912618
6.135907273,1,1,0,0.028096137,0.126706263,0.144290643,0.15419107,0.159286924,0.160717275,0.162576045
6.734150658,1,1,0,0.029786855,0.131068799,0.149235369,0.159405879,0.164603204,0.166043709,0.167925386
7.390722034,1,1,0,0.031490349,0.135308175,0.154035145,0.164465657,0.169759626,0.171210621,0.173114361
8.111308308,1,1,0,0.033304379,0.139463278,0.158727767,0.169407646,0.17479494,0.176259257,0.178185299
8.902150854,1,1,0,0.034915574,0.143377209,0.163159138,0.174077224,0.179550747,0.181024557,0.182969951
9.770099573,1,1,0,0.036570168,0.147168296,0.167441011,0.178585988,0.184142084,0.185626837,0.187591745
10.72267222,1,1,0,0.038159374,0.150777492,0.171518566,0.182878991,0.188512581,0.19000801,0.191990961
11.76811952,1,1,0,0.039666483,0.154196688,0.175382418,0.186946629,0.192652963,0.194158044,0.196157869
12.91549665,1,1,0,0.041054613,0.157408313,0.179013866,0.190770372,0.19654408,0.198057157,0.200072131
14.17474163,1,1,0,0.042387006,0.160444991,0.182446693,0.19438433,0.20022103,0.201741951,0.203771247
15.55676144,1,1,0,0.04362565,0.163289835,0.185664571,0.197772235,0.203667322,0.2051951,0.207237442
17.07352647,1,1,0,0.044888321,0.166009948,0.188733126,0.201000013,0.20695106,0.208487506,0.210543159
18.73817423,1,1,0,0.046045072,0.168540612,0.191590348,0.204006103,0.210008759,0.211552569,0.213620195
